user_id,cluster,cluster_name,cluster_profile,total_spend,avg_spend,purchase_count,unique_sessions,categories_purchased,brands_purchased,cart_to_purchase_ratio,view_to_purchase_ratio
544451468.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,2,0.0,4.0
544456794.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,1,0.0,1.0
544472007.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,2,0.0,7.0
544491802.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,1.0
544589980.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,2.0
544628989.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,2,0.0,4.0
544648245.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,3,0.0,7.0
544706674.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,1,0.0,1.0
544709122.0,1,Premium_Customers,"Highest spending, premium buyers",0.0,0.0,0.0,1,1,1,0.0,2.0
544837759.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,3.0
544906679.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,2.0
544911870.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,1,0.0,1.0
544933960.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,2,3,0.0,14.0
544937191.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,2,0.0,5.0
544960561.0,1,Premium_Customers,"Highest spending, premium buyers",0.0,0.0,0.0,1,1,4,0.0,5.0
544966537.0,0,Efficient_Buyers,"High conversion, moderate spending",0.0,0.0,0.0,1,1,1,0.0,2.0
544985484.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,2.0
545018303.0,0,Efficient_Buyers,"High conversion, moderate spending",0.0,0.0,0.0,1,1,1,0.0,1.0
545021141.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,3,0.0,4.0
545031252.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,1,0.0,1.0
